Ze Kitchen Galerie; €€€€; Creative; 48.855257800000004, 2.3403197177837303; 4 rue des Grands-Augustins, Paris, 75006, France; https://zekitchengalerie.fr/
Shu; €€; Japanese; 48.8530264, 2.3422025; 8 rue Suger, Paris, 75006, France; https://www.restaurant-shu.com/
Baieta; €€€; Modern Cuisine; 48.8501356, 2.3522654; 5 rue de Pontoise, Paris, 75005, France; https://www.restaurant-baieta-paris.fr/
Le Mazenay; €€; Farm to table; 48.8636039, 2.3533103; 46 rue de Montmorency, Paris, 75003, France; https://www.lemazenay.com/
Auberge Nicolas Flamel; €€€; Modern Cuisine; 48.8635758, 2.3531607; 51 rue de Montmorency, Paris, 75003, France; https://auberge.nicolas-flamel.fr/
La Poule au Pot; €€€; Traditional Cuisine; 48.8616782, 2.3432559; 9 rue Vauvilliers, Paris, 75001, France; https://jeanfrançoispiege.com/la-poule-au-pot
Relais Louis XIII; €€€€; Classic Cuisine; 48.8545134, 2.3407588; 8 rue des Grands-Augustins, Paris, 75006, France; https://relaislouis13.fr/
Alliance; €€€€; Modern Cuisine; 48.8499232, 2.3533019; 5 rue de Poissy, Paris, 75005, France; https://www.restaurant-alliance.fr/
Liquide; €€€; Creative; 48.8609881, 2.3424125; 39 rue de l'Arbre-Sec, Paris, 75001, France; https://www.liquide.paris
Granite; €€€€; Modern Cuisine; 48.8609753, 2.3419779; 6 rue Bailleul, Paris, 75001, France; http://www.granite.paris
Maison Cluny; €€; Traditional Cuisine; 48.8505807, 2.3448259; 3 rue de Cluny, Paris, 75005, France; https://www.maison-cluny.fr
Clover Grill; €€€; Grills; 48.8609753, 2.3419779; 6 rue Bailleul, Paris, 75001, France; https://jeanfrançoispiege.com/clover-grill
Kitchen Ter(re); €€; Modern Cuisine; 48.8496404, 2.3527459; 26 boulevard Saint-Germain, Paris, 75005, France; https://zekitchengalerie.fr/
Allard; €€€; Traditional Cuisine; 48.8533413, 2.3410806; 41 rue Saint-André-des-Arts, Paris, 75006, France; https://www.restaurant-allard.fr/
Parcelles; €€€; Traditional Cuisine; 48.8632239, 2.3566007; 13 rue Chapon, Paris, 75003, France; https://www.parcelles-paris.fr/
Thaï Spices; €€; Thai; 48.852985098750416, 2.360025157631023; 5-7 rue de l'Ave-Maria, Paris, 75004, France; https://www.thaispices.fr
Tour d'Argent; €€€€; Modern Cuisine; 48.8498148, 2.3550979; 15 quai de la Tournelle, Paris, 75005, France; https://tourdargent.com/
Le Christine; €€€; Modern Cuisine; 48.8543035, 2.3404003; 1 rue Christine, Paris, 75006, France; https://lechristine.becsparisiens.fr/
Yam'Tcha; €€€€; Creative; 48.8614967, 2.3419145; 121 rue Saint-Honoré, Paris, 75001, France; https://www.yamtcha.com/
Oktobre; €€€; Modern Cuisine; 48.853803, 2.3403816; 25 rue des Grands-Augustins, Paris, 75006, France; https://oktobre.fr/
AT; €€€€; Creative; 48.84832812445987, 2.3534373673145477; 4bis rue du Cardinal-Lemoine, Paris, 75005, France; https://www.atsushitanaka.com/
ERH; €€€€; Modern Cuisine; 48.8644933, 2.3491551; 11 rue Tiquetonne, Paris, 75002, France; http://www.restaurant-erh.com
La Régalade Saint-Honoré; €€; Traditional Cuisine; 48.8615929, 2.3419447; 106 rue Saint-Honoré, Paris, 75001, France; https://laregalade.paris/
Guy Savoy; €€€€; Modern Cuisine; 48.856401500000004, 2.338495632992325; 11 quai de Conti, Paris, 75006, France; https://www.guysavoy.com/
La Dame de Pic; €€€€; Creative; 48.8615053, 2.3412648; 20 rue du Louvre, Paris, 75001, France; https://anne-sophie-pic.com/paris/
Colvert; €€€; Modern Cuisine; 48.8535225, 2.3401722; 30 rue des Grands-Augustins, Paris, 75006, France; https://colvert.paris
LAVA - Cuisine & Vin; €€€; Modern Cuisine; 48.8491284, 2.3487903; 9 rue de la Montagne-Sainte-Geneviève, Paris, 75005, France; http://www.lava-paris.com
Terra; €€€; Modern Cuisine; 48.8637407, 2.356942; 21 rue des Gravilliers, Paris, 75003, France; https://www.terraparis.fr/
Lai'Tcha; €; Asian; 48.863554, 2.3442561; 7 rue du Jour, Paris, 75001, France; https://www.yamtcha.com/
